INFO 2026-03-06 00:21:46,182 middleware Anonymous | 10.89.3.4 | GET | /api/tasks/ | 401 | 0.066s
INFO 2026-03-06 00:28:47,522 middleware Anonymous | 10.89.3.7 | GET | /api/tasks/ | 401 | 0.013s
INFO 2026-03-06 00:28:50,648 middleware Anonymous | 10.89.3.7 | GET | /api/tasks/ | 401 | 0.000s
INFO 2026-03-06 00:28:58,901 middleware Anonymous | 10.89.3.7 | POST | /api/token/ | 200 | 0.111s
INFO 2026-03-06 00:28:58,961 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.030s
INFO 2026-03-06 00:28:58,998 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.032s
INFO 2026-03-06 00:29:17,207 middleware user | 10.89.3.7 | POST | /api/tasks/ | 201 | 0.029s
INFO 2026-03-06 00:29:17,236 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-03-06 00:29:32,708 middleware user | 10.89.3.7 | POST | /api/tasks/ | 201 | 0.029s
INFO 2026-03-06 00:29:32,734 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.021s
INFO 2026-03-06 00:29:34,249 middleware user | 10.89.3.7 | POST | /api/tasks/121/toggle/ | 200 | 0.034s
INFO 2026-03-06 00:29:34,277 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.021s
INFO 2026-03-06 00:29:42,241 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.029s
INFO 2026-03-06 00:29:44,872 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.025s
INFO 2026-03-06 00:29:45,777 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.042s
INFO 2026-03-06 00:29:47,623 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.033s
INFO 2026-03-06 00:29:53,560 middleware admin | 10.89.3.1 | GET | /admin/auth/group/ | 200 | 0.065s
INFO 2026-03-06 00:29:53,633 middleware admin | 10.89.3.1 | GET | /admin/jsi18n/ | 200 | 0.016s
INFO 2026-03-06 00:30:02,256 middleware admin | 10.89.3.1 | GET | /admin/todo/ | 200 | 0.017s
INFO 2026-03-06 00:30:03,941 middleware admin | 10.89.3.1 | GET | /admin/todo/task/ | 200 | 0.059s
INFO 2026-03-06 00:30:04,012 middleware admin | 10.89.3.1 | GET | /admin/jsi18n/ | 200 | 0.028s
INFO 2026-03-06 00:30:05,361 middleware admin | 10.89.3.1 | GET | /admin/todo/task/ | 200 | 0.026s
INFO 2026-03-06 00:30:05,401 middleware admin | 10.89.3.1 | GET | /admin/jsi18n/ | 200 | 0.012s
INFO 2026-03-06 00:30:22,898 middleware admin | 10.89.3.1 | GET | /admin/todo/task/121/change/ | 200 | 0.038s
INFO 2026-03-06 00:30:22,943 middleware admin | 10.89.3.1 | GET | /admin/jsi18n/ | 200 | 0.014s
INFO 2026-03-06 00:30:55,607 middleware user | 10.89.3.7 | POST | /api/tasks/ | 201 | 0.021s
INFO 2026-03-06 00:30:55,636 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-03-06 00:31:02,741 middleware user | 10.89.3.7 | POST | /api/tasks/122/toggle/ | 200 | 0.031s
INFO 2026-03-06 00:31:02,776 middleware user | 10.89.3.7 | GET | /api/tasks/ | 200 | 0.026s
INFO 2026-04-04 19:35:27,854 middleware Anonymous | 10.89.3.4 | GET | /api/tasks/ | 401 | 0.026s
INFO 2026-04-04 19:56:51,849 middleware Anonymous | 10.89.2.7 | GET | /api/tasks/ | 401 | 0.006s
INFO 2026-04-04 19:57:08,259 middleware Anonymous | 10.89.2.7 | POST | /api/tasks/ | 401 | 0.001s
INFO 2026-04-04 19:57:33,910 middleware Anonymous | 10.89.2.7 | POST | /api/token/ | 401 | 0.106s
INFO 2026-04-04 19:57:37,745 middleware Anonymous | 10.89.2.7 | POST | /api/token/ | 200 | 0.108s
INFO 2026-04-04 19:57:37,841 middleware hatchi | 10.89.2.7 | GET | /api/tasks/ | 200 | 0.069s
INFO 2026-04-04 19:57:37,899 middleware hatchi | 10.89.2.7 | GET | /api/tasks/ | 200 | 0.051s
INFO 2026-04-04 19:57:42,413 middleware hatchi | 10.89.2.7 | POST | /api/tasks/ | 201 | 0.047s
INFO 2026-04-04 19:57:42,477 middleware hatchi | 10.89.2.7 | GET | /api/tasks/ | 200 | 0.056s
INFO 2026-04-04 20:00:45,818 middleware hatchi | 10.89.2.8 | GET | /api/tasks/ | 200 | 0.045s
INFO 2026-04-04 20:01:06,192 middleware hatchi | 10.89.2.8 | DELETE | /api/tasks/123/ | 204 | 0.019s
INFO 2026-04-04 20:01:06,248 middleware hatchi | 10.89.2.8 | GET | /api/tasks/ | 200 | 0.050s
INFO 2026-04-04 20:03:11,752 middleware hatchi | 10.89.2.9 | GET | /api/tasks/ | 200 | 0.077s
INFO 2026-04-04 20:07:39,025 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.057s
INFO 2026-04-04 20:08:28,009 middleware hatchi | 10.89.2.12 | DELETE | /api/tasks/111/ | 204 | 0.027s
INFO 2026-04-04 20:08:28,029 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.014s
INFO 2026-04-04 20:08:33,650 middleware hatchi | 10.89.2.12 | POST | /api/tasks/ | 201 | 0.025s
INFO 2026-04-04 20:08:33,671 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.015s
INFO 2026-04-04 20:08:49,387 middleware hatchi | 10.89.2.12 | POST | /api/tasks/ | 201 | 0.015s
INFO 2026-04-04 20:08:49,415 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-04-04 20:09:44,386 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.026s
INFO 2026-04-04 20:09:56,900 middleware hatchi | 10.89.2.12 | POST | /api/tasks/ | 201 | 0.017s
INFO 2026-04-04 20:09:56,927 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.021s
INFO 2026-04-04 20:09:59,953 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.030s
INFO 2026-04-04 20:09:59,978 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.019s
INFO 2026-04-04 20:10:03,698 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.029s
INFO 2026-04-04 20:10:03,727 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-04-04 20:10:06,610 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.025s
INFO 2026-04-04 20:10:06,634 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.018s
INFO 2026-04-04 20:10:08,201 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.030s
INFO 2026-04-04 20:10:08,227 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.018s
INFO 2026-04-04 20:10:09,568 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.026s
INFO 2026-04-04 20:10:09,593 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-04-04 20:10:14,791 middleware hatchi | 10.89.2.12 | POST | /api/tasks/reorder_top_level/ | 200 | 0.026s
INFO 2026-04-04 20:10:14,820 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-04-04 20:11:28,900 middleware hatchi | 10.89.2.12 | POST | /api/tasks/ | 201 | 0.013s
INFO 2026-04-04 20:11:28,929 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-04-04 20:12:05,898 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.019s
INFO 2026-04-04 20:13:10,058 middleware hatchi | 10.89.2.12 | POST | /api/tasks/124/toggle/ | 200 | 0.015s
INFO 2026-04-04 20:13:10,101 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.017s
INFO 2026-04-04 20:13:14,559 middleware hatchi | 10.89.2.12 | POST | /api/tasks/125/toggle/ | 200 | 0.016s
INFO 2026-04-04 20:13:14,582 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.017s
INFO 2026-04-04 20:13:15,516 middleware hatchi | 10.89.2.12 | POST | /api/tasks/125/toggle/ | 200 | 0.017s
INFO 2026-04-04 20:13:15,545 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.017s
INFO 2026-04-04 20:13:23,711 middleware hatchi | 10.89.2.12 | POST | /api/tasks/124/toggle/ | 200 | 0.028s
INFO 2026-04-04 20:13:23,736 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 200 | 0.018s
INFO 2026-04-04 20:17:56,145 middleware Anonymous | 10.89.2.1 | GET | /admin | 404 | 0.004s
INFO 2026-04-04 20:17:56,154 middleware Anonymous | 10.89.2.1 | GET | /admin/ | 302 | 0.005s
INFO 2026-04-04 20:17:56,189 middleware Anonymous | 10.89.2.1 | GET | /admin/login/ | 200 | 0.029s
INFO 2026-04-04 20:17:56,314 middleware Anonymous | 10.89.2.1 | GET | /favicon.ico | 404 | 0.003s
INFO 2026-04-04 20:18:00,384 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.102s
INFO 2026-04-04 20:18:04,176 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.107s
INFO 2026-04-04 20:18:06,773 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.102s
INFO 2026-04-04 20:18:10,607 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.101s
INFO 2026-04-04 20:18:25,209 middleware hatchi | 10.89.2.12 | GET | /api/tasks/ | 500 | 0.054s
INFO 2026-04-04 20:18:34,457 middleware Anonymous | 10.89.2.12 | POST | /api/token/ | 200 | 0.099s
INFO 2026-04-04 20:18:34,511 middleware user | 10.89.2.12 | GET | /api/tasks/ | 500 | 0.037s
INFO 2026-04-04 20:18:34,552 middleware user | 10.89.2.12 | GET | /api/tasks/ | 500 | 0.032s
INFO 2026-04-04 20:20:08,457 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.025s
INFO 2026-04-04 20:20:26,718 middleware user | 10.89.2.15 | POST | /api/tasks/ | 201 | 0.021s
INFO 2026-04-04 20:20:26,747 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.019s
INFO 2026-04-04 20:21:13,717 middleware user | 10.89.2.15 | POST | /api/tasks/ | 201 | 0.016s
INFO 2026-04-04 20:21:13,744 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-04-04 20:21:33,857 middleware user | 10.89.2.15 | PATCH | /api/tasks/129/ | 200 | 0.014s
INFO 2026-04-04 20:21:33,883 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.019s
INFO 2026-04-04 20:22:49,544 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.021s
INFO 2026-04-04 20:24:42,313 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-04-04 20:27:29,692 middleware user | 10.89.2.15 | POST | /api/tasks/ | 201 | 0.019s
INFO 2026-04-04 20:27:29,717 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.018s
INFO 2026-04-04 20:31:19,714 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.024s
INFO 2026-04-04 20:32:39,941 middleware user | 10.89.2.15 | POST | /api/tasks/reorder_top_level/ | 200 | 0.030s
INFO 2026-04-04 20:32:39,963 middleware user | 10.89.2.15 | GET | /api/tasks/ | 200 | 0.016s
INFO 2026-04-04 20:34:49,304 middleware user | 10.89.2.16 | GET | /api/tasks/ | 200 | 0.020s
INFO 2026-04-04 20:35:22,383 middleware user | 10.89.2.16 | POST | /api/tasks/ | 201 | 0.021s
INFO 2026-04-04 20:35:22,410 middleware user | 10.89.2.16 | GET | /api/tasks/ | 200 | 0.018s
INFO 2026-04-04 20:35:23,901 middleware user | 10.89.2.16 | POST | /api/tasks/121/toggle/ | 200 | 0.015s
INFO 2026-04-04 20:35:23,922 middleware user | 10.89.2.16 | GET | /api/tasks/ | 200 | 0.015s
INFO 2026-04-04 20:35:30,497 middleware user | 10.89.2.16 | GET | /api/tasks/ | 200 | 0.021s
INFO 2026-04-04 20:39:05,973 middleware user | 10.89.2.16 | GET | /api/me/ | 200 | 0.009s
INFO 2026-04-04 20:39:05,988 middleware user | 10.89.2.16 | GET | /api/me/ | 200 | 0.011s
INFO 2026-04-04 20:42:56,089 middleware user | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.026s
INFO 2026-04-04 20:43:15,623 middleware user | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-04-04 20:43:16,195 middleware user | 10.89.2.19 | GET | /api/tasks/daily_summary/ | 200 | 0.013s
INFO 2026-04-04 20:43:16,216 middleware user | 10.89.2.19 | GET | /api/tasks/daily_summary/ | 200 | 0.015s
INFO 2026-04-04 20:44:25,474 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.115s
INFO 2026-04-04 20:44:28,818 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.111s
INFO 2026-04-04 20:44:35,096 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.113s
INFO 2026-04-04 20:44:37,262 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.101s
INFO 2026-04-04 20:44:39,085 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.102s
INFO 2026-04-04 20:44:43,177 middleware Anonymous | 10.89.2.1 | POST | /admin/login/ | 200 | 0.103s
INFO 2026-04-04 20:44:48,910 middleware admin | 10.89.2.1 | POST | /admin/login/ | 302 | 0.123s
INFO 2026-04-04 20:44:48,954 middleware admin | 10.89.2.1 | GET | /admin/ | 200 | 0.033s
INFO 2026-04-04 20:44:51,588 middleware admin | 10.89.2.1 | GET | /admin/todo/task/ | 200 | 0.049s
INFO 2026-04-04 20:44:51,640 middleware admin | 10.89.2.1 | GET | /admin/jsi18n/ | 200 | 0.019s
INFO 2026-04-04 20:44:52,527 middleware admin | 10.89.2.1 | GET | /admin/auth/user/ | 200 | 0.023s
INFO 2026-04-04 20:44:52,576 middleware admin | 10.89.2.1 | GET | /admin/jsi18n/ | 200 | 0.013s
INFO 2026-04-04 20:47:03,839 middleware admin | 10.89.2.1 | POST | /admin/auth/user/ | 200 | 0.043s
INFO 2026-04-04 20:47:06,690 middleware admin | 10.89.2.1 | POST | /admin/auth/user/ | 302 | 0.037s
INFO 2026-04-04 20:47:06,714 middleware admin | 10.89.2.1 | GET | /admin/auth/user/ | 200 | 0.018s
INFO 2026-04-04 20:47:06,763 middleware admin | 10.89.2.1 | GET | /admin/jsi18n/ | 200 | 0.013s
INFO 2026-04-04 20:47:12,175 middleware admin | 10.89.2.1 | GET | /admin/todo/task/ | 200 | 0.023s
INFO 2026-04-04 20:47:12,217 middleware admin | 10.89.2.1 | GET | /admin/jsi18n/ | 200 | 0.013s
INFO 2026-04-04 20:50:50,925 middleware Anonymous | 10.89.2.19 | POST | /api/token/ | 200 | 0.103s
INFO 2026-04-04 20:50:50,976 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.025s
INFO 2026-04-04 20:50:51,007 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.022s
INFO 2026-04-04 20:51:23,226 middleware hatchi | 10.89.2.19 | DELETE | /api/tasks/126/ | 204 | 0.014s
INFO 2026-04-04 20:51:23,245 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.014s
INFO 2026-04-04 20:51:24,547 middleware hatchi | 10.89.2.19 | DELETE | /api/tasks/124/ | 204 | 0.018s
INFO 2026-04-04 20:51:24,567 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.014s
INFO 2026-04-04 20:51:26,063 middleware hatchi | 10.89.2.19 | DELETE | /api/tasks/127/ | 204 | 0.014s
INFO 2026-04-04 20:51:26,085 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.015s
INFO 2026-04-04 20:51:27,210 middleware hatchi | 10.89.2.19 | DELETE | /api/tasks/125/ | 204 | 0.022s
INFO 2026-04-04 20:51:27,230 middleware hatchi | 10.89.2.19 | GET | /api/tasks/ | 200 | 0.014s
INFO 2026-04-04 20:58:20,112 middleware hatchi | 10.89.2.20 | GET | /api/tasks/ | 200 | 0.016s
INFO 2026-04-04 21:02:17,535 middleware hatchi | 10.89.2.20 | GET | /api/tasks/ | 200 | 0.015s
INFO 2026-04-04 21:03:55,830 middleware hatchi | 10.89.2.21 | GET | /api/tasks/ | 200 | 0.016s
INFO 2026-04-04 21:04:09,659 middleware hatchi | 10.89.2.21 | GET | /api/tasks/daily_summary/ | 200 | 0.012s
INFO 2026-04-04 21:04:09,681 middleware hatchi | 10.89.2.21 | GET | /api/tasks/daily_summary/ | 200 | 0.014s
INFO 2026-04-04 21:04:12,432 middleware hatchi | 10.89.2.21 | GET | /api/me/ | 200 | 0.010s
INFO 2026-04-04 21:04:12,470 middleware hatchi | 10.89.2.21 | GET | /api/me/ | 200 | 0.011s
